,sBondCount,dBondCount,tBondCount,Energy
431,6,0,0,-57.40710999999988
432,6,0,0,-57.404959999999846
433,17,0,0,-139.00951999999916
434,17,0,0,-138.89496999999892
435,17,0,0,-139.02552999999943
436,17,0,0,-139.01695999999947
437,17,0,0,-138.9992399999992
438,17,0,0,-138.7482499999992
439,17,0,0,-138.67988999999898
440,17,0,0,-138.63123999999922
441,11,0,0,-112.98239999999943
442,11,0,0,-113.20270999999913
443,11,0,0,-113.26088999999956
444,11,0,0,-113.23413999999956
445,11,0,0,-113.32258999999931
446,11,0,0,-113.09974999999895
447,11,0,0,-113.36895999999932
448,11,0,0,-113.43302999999923
449,11,0,0,-113.2841599999997
450,11,0,0,-113.20649000000004
451,8,0,0,-112.9878900000003
452,12,0,0,-117.79237000000056
453,12,0,0,-117.96703000000024
454,12,0,0,-118.01204000000007
455,12,0,0,-118.03785000000015
456,12,0,0,-118.05588999999964
457,12,0,0,-117.82501999999977
458,7,0,0,-26.918729999999872
459,7,0,0,-26.968669999999968
460,7,0,0,-26.918519999999948
461,4,1,0,-21.127629999999954
462,4,1,0,-21.127729999999932
463,4,0,0,-13.859119999999848
464,14,0,0,-92.33341999999948
465,6,0,0,-62.20669999999972
466,13,0,0,-55.48972000000003
467,16,0,0,-68.11733000000004
468,18,0,0,-111.5384299999985
469,9,0,0,-73.06017999999995
470,62,4,0,-294.8197500000133
471,6,0,0,-55.888519999999744
472,6,0,0,-55.91582999999969
473,6,0,0,-55.931259999999845
474,11,0,0,-111.479589999999
475,4,0,0,-12.919789999999919
476,9,0,0,-38.630749999999814
477,10,0,0,-75.72949999999946
478,10,0,0,-75.75888999999937
479,6,0,0,-58.13208999999985
480,6,0,0,-58.185379999999675
481,6,0,0,-58.2366599999998
482,11,0,0,-113.83908999999905
483,11,0,0,-113.93203999999923
484,11,0,0,-113.88145999999917
485,11,0,0,-113.80714999999918
486,11,0,0,-113.8550499999992
487,11,0,0,-113.90775999999914
488,11,0,0,-113.8712699999992
489,11,0,0,-113.9439099999995
490,12,0,0,-118.63097999999945
491,12,0,0,-118.57099999999993
492,12,0,0,-118.61140999999952
493,7,0,0,-27.9705399999998
494,7,0,0,-27.825019999999995
495,7,0,0,-27.9705399999998
496,4,1,0,-22.02807000000007
497,4,1,0,-22.028279999999995
498,7,0,0,-28.566989999999805
499,4,0,0,-14.806490000000052
500,10,0,0,-40.725029999999606
501,14,0,0,-93.20991999999931
502,11,0,0,-50.531709999999755
503,23,0,0,-99.0134799999985
504,26,0,0,-111.51796999999806
505,15,0,0,-98.67013999999857
506,15,0,0,-98.7303399999987
