,sBondCount,dBondCount,tBondCount,Energy
603,12,0,0,-54.54507999999986
604,19,1,0,-91.81234999999901
605,21,3,0,-110.15268999999992
606,17,0,0,-76.76189999999906
607,20,0,0,-89.33857999999849
608,24,0,0,-103.80147999999805
609,20,0,0,-89.12312999999834
610,40,1,0,-248.54420999999957
611,19,1,0,-159.63992999999982
612,24,1,0,-109.70714999999927
613,24,2,0,-118.73055999999859
614,23,2,0,-117.66896999999835
615,9,1,0,-48.402030000000074
616,11,1,0,-55.029649999999954
617,4,1,0,-26.372389999999537
618,19,2,0,-104.28467999999884
619,12,2,0,-126.67162000000008
620,15,1,0,-74.37950999999885
621,15,2,0,-153.37400999999952
622,16,6,0,-175.35237000000416
623,14,2,0,-147.81909999999883
624,10,3,0,-99.30235999999924
625,30,2,0,-182.55379999999832
626,58,2,0,-299.52353000000863
627,40,1,0,-250.1639700000087
628,35,1,0,-220.4085399999985
629,16,0,0,-131.77205999999842
630,15,2,0,-81.9713799999995
631,14,1,0,-139.32935999999927
632,8,4,0,-61.80283000000009
633,10,1,0,-87.97327999999969
634,26,2,0,-196.7673599999994
635,16,2,0,-159.48744999999963
636,18,2,0,-187.0928299999996
637,26,1,0,-153.2595099999985
638,46,0,0,-266.38721999999734
639,65,2,0,-301.6122800000148
640,16,1,0,-146.47540999999907
641,15,0,0,-133.06099999999878
642,17,0,0,-106.14458999999874
643,13,1,0,-102.54696999999895
644,21,0,0,-163.41736999999785
645,22,0,0,-131.75132999999778
646,15,1,0,-108.09569999999849
647,18,1,0,-120.84936999999901
648,15,0,0,-133.31541999999854
649,16,2,0,-122.21355999999878
650,4,0,0,-80.20713999999953
651,11,0,0,-156.1153799999997
652,47,6,0,-244.2221599999989
653,49,7,0,-262.3563900000072
654,15,1,0,-108.59964999999876
655,10,2,0,-91.02238999999963
656,20,1,0,-132.70853999999918
657,18,3,0,-109.75858999999993
658,29,3,0,-150.68287999999848
659,33,0,0,-145.23003999999762
660,16,0,0,-102.08184999999868
661,15,0,0,-136.56833999999867
662,15,0,0,-101.5578399999988
663,25,0,0,-105.53319999999826
664,23,1,0,-106.16633999999814
665,17,1,0,-80.84863999999902
666,20,1,0,-93.86585999999849
667,21,4,0,-127.35620000000016
668,33,1,0,-150.01043999999774
669,22,3,0,-114.84283999999843
670,7,1,0,-41.32663000000002
671,18,1,0,-86.83232999999882
672,10,2,0,-62.7842899999996
673,24,1,0,-111.95121999999832
674,65,2,0,-294.9885299999996
675,21,0,0,-94.64615999999887
676,14,0,0,-60.29725999999914
677,21,1,0,-99.37857999999822
678,12,2,0,-71.05989999999929
679,23,1,0,-106.11904999999821
680,32,1,0,-147.16494999999804
681,31,0,0,-131.41037999999776
682,26,1,0,-118.9012399999981
683,39,0,0,-167.48676999999725
684,4,0,0,-13.481199999999944
685,8,1,0,-39.946049999999794
686,16,0,0,-71.51085999999988
687,7,0,0,-29.60685000000012
688,26,2,0,-130.75769999999875
689,80,5,0,-371.44547000001154
690,17,1,0,-84.71067999999924
691,78,8,0,-411.1755899999753
692,23,1,1,-119.26243999999815
693,38,0,0,-167.7599599999985
694,33,1,0,-141.44129999999996
695,31,1,0,-138.31295999999838
696,20,2,0,-101.98297999999865
697,25,1,0,-116.8549199999984
698,7,1,0,-44.11873999999965
699,7,2,0,-48.84464999999954
700,31,3,0,-153.99944999999798
701,17,2,0,-93.10702999999901
702,17,3,0,-164.8810199999998
703,17,2,0,-161.09717999999933
704,9,1,0,-48.5020399999994
705,10,2,0,-59.74837999999932
706,10,2,0,-60.51638999999978
707,70,1,0,-305.19890000000936
708,34,0,0,-179.89490999999725
709,31,0,0,-167.07529999999724
710,44,1,0,-267.8393500000093
711,13,2,0,-142.33227999999917
712,11,4,0,-119.1436900000008
713,8,0,0,-98.67070999999964
714,26,2,0,-164.0386899999994
715,14,1,0,-167.9162199999996
716,18,2,0,-193.94452000000047
717,10,0,0,-106.50335999999923
718,22,3,0,-115.79584999999952
719,13,2,0,-105.5541400000002
720,18,1,0,-143.12558999999874
721,13,2,0,-78.09188999999971
722,13,0,0,-90.14084999999884
723,9,1,0,-80.3529599999997
724,13,1,0,-102.43153999999934
725,18,2,0,-165.19534999999996
726,19,4,0,-143.2961600000035
727,13,0,0,-126.23518999999851
728,14,1,0,-141.74059999999872
729,16,1,0,-115.31309999999941
730,17,0,0,-109.66343999999869
731,8,1,0,-46.966190000000104
732,7,1,0,-43.251439999999896
733,22,1,0,-104.66786999999864
734,12,2,0,-100.7867199999996
735,14,2,0,-108.61642999999869
736,33,0,0,-180.56924999999862
737,20,2,0,-105.14179999999851
738,24,2,0,-115.7068599999982
739,18,3,0,-109.3410999999992
740,9,1,0,-83.73457999999914
741,14,1,0,-98.0566899999992
742,24,0,0,-102.98750999999857
743,33,3,0,-198.6213600000019
744,15,2,0,-115.55757999999923
745,27,0,0,-187.268889999998
746,9,0,1,-85.96507999999903
747,16,3,0,-131.99025999999913
748,16,1,0,-110.30399999999828
749,23,1,0,-107.2590699999987
750,56,3,0,-263.7514499999975
751,35,2,0,-168.48283999999833
752,20,3,0,-111.83956999999918
753,29,2,0,-143.21456999999873
754,10,0,0,-46.124439999999936
755,46,0,0,-195.5071299999973
756,27,3,0,-143.08026999999902
757,9,1,0,-47.02402999999958
758,14,2,0,-75.95699999999944
759,8,2,0,-54.99671999999987
760,8,2,0,-50.7379599999997
761,4,2,0,-65.85434999999939
762,5,1,0,-64.12604999999917
763,14,1,0,-72.27135999999929
764,12,1,0,-57.54165999999998
765,11,2,0,-69.2854899999993
766,15,2,0,-91.15934999999901
767,24,1,0,-111.98895999999807
768,36,1,0,-162.91229999999726
769,39,0,0,-167.1380199999969
770,35,0,0,-151.36547999999766
771,24,1,0,-96.79829000000065
772,27,3,0,-149.1945099999989
773,19,3,0,-111.24134000000004
774,27,0,0,-116.79597999999805
775,6,1,0,-36.49440999999956
776,5,2,0,-41.773879999999735
777,15,2,0,-150.0237399999996
778,15,1,0,-77.71366999999896
779,13,2,0,-78.06658999999945
780,13,2,0,-78.07623999999942
781,20,0,0,-89.88866999999846
782,14,3,0,-124.44146
783,16,5,0,-138.19976000000406
784,8,0,0,-120.49329999999918
785,16,2,0,-113.83327999999985
786,11,1,0,-94.842349999999
787,18,1,0,-125.90292999999883
788,0,0,1,-22.46547999999996
789,8,0,0,-34.50168000000002
790,38,2,0,-182.15316999999825
791,31,1,0,-186.03913999999986
792,18,2,0,-98.4473399999988
793,12,1,0,-97.26546999999869
794,22,0,0,-93.97168999999849
795,12,0,0,-213.5281299999997
796,12,0,0,-182.27395999999908
797,14,0,0,-196.99589999999944
798,13,0,0,-192.5651699999989
799,12,0,0,-166.52811999999858
800,16,0,0,-216.9074499999997
801,12,0,0,-138.61611999999857
802,14,0,0,-181.4049999999989
803,14,0,0,-181.62986999999885
804,14,0,0,-181.56298999999905
805,14,0,0,-202.23794999999927
806,17,0,0,-196.2219999999997
807,17,0,0,-196.25069999999957
808,15,0,0,-160.8561599999989
809,15,0,0,-160.87056999999913
810,13,0,0,-200.2868799999992
811,9,0,0,-129.35182999999915
812,3,0,0,-77.16315999999983
813,21,0,0,-91.68102999999859
814,4,0,0,-48.357079999999996
815,3,0,0,-41.87272999999982
816,4,0,0,-55.92975000000001
817,4,0,0,-56.49128999999982
818,21,0,0,-88.37649999999996
819,21,1,0,-136.4106599999991
820,33,3,0,-167.87568999999849
